Model,Accuracy,Precision,Recall,F1-Score
Support Vector Machine,0.8333333333333334,0.48333333333333334,0.6170212765957447,0.5420560747663551
Gradient Boosting Classifier,0.8469387755102041,0.6,0.1276595744680851,0.21052631578947367
XGBoost Classifier,0.8571428571428571,0.7272727272727273,0.1702127659574468,0.27586206896551724
